Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang,EventToastID,PlayerConditionID,UiTextureAtlasMemberID,UiTextureKitID,EventType,DisplayType,EventAsset,Field_9_1_0_38312_011,IconFileID,UiWidgetSetID,ExtraUiWidgetSetID,TitleTooltipUiWidgetSetID,SubtitleTooltipUiWidgetSetID,ShowSoundKitID,HideSoundKitID,Field_10_2_5_52554_021
%d уровня,Вы достигли,,,,,1,117398,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Подземелье открыто!,,,,,2,117398,12015,0,2,3,0,0,0,0,0,0,0,0,0,0
,Доступна новая способность!,,,,,3,117398,12014,0,1,3,0,0,0,0,0,0,0,0,0,0
,Открыт рейд!,,,,,4,92737,12015,0,3,3,0,0,0,0,0,0,0,0,0,0
,Новый этап,,,,,5,0,0,5554,14,6,0,0,0,0,0,0,0,0,0,0
,,,,,,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
,Новый уровень,,,,,8,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0
,Доступна новая способность!,,,,,9,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
Вы поймали питомца,,,,,,10,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0
%s%s,,,,,,11,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
Сбор добычи по области,Доступна новая особая возможность!,При сборе добычи с тела вы также будете обыскивать все находящиеся рядом трупы.,Открыт сбор добычи по области,,,12,90425,12015,0,15,3,0,0,1022948,0,0,0,0,183581,0,0
Чертоги Скольда,%19812w-й этаж,,,,,14,79354,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Извилистые коридоры,%19812w-й этаж,,,,,15,79355,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Костоломни,%19812w-й этаж,,,,,16,79363,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Кузни душ,Этаж %19812w,,,,,17,79365,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Междумирье Бессердечных,%19812w-й этаж,,,,,18,79368,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
Морт'регар,%19812w-й этаж,,,,,19,79366,0,5281,17,6,354094,0,0,0,0,0,0,0,0,0
