ID,Text_lang
1,[СЕРВЕР] Завершение работы через %s
2,[СЕРВЕР] Перезагрузка через %s
3,%s
4,[СЕРВЕР] Завершение работы отменено.
5,[СЕРВЕР] Перезагрузка отменена.
6,[СЕРВЕР] Поле боя будет отключено через %s
7,[СЕРВЕР] Поле боя будет перезагружено через %s
8,[СЕРВЕР] Подземелье будет отключено через %s
9,[СЕРВЕР] Подземелье будет перезагружено через %s
10,"Доступны материалы дополнения Cataclysm. Пожалуйста, перезапустите World of Warcraft."
11,Ваш запрос скоро будет рассмотрен.
12,Время ожидания пока неизвестно.
13,"Среднее время ожидания ответа:
 %s"
14,Вышло дополнение Mists of Pandaria!
15,"Вышло дополнение Mists of Pandaria! Приключения начнутся, когда вы ступите на землю Оргриммара!"
16,"Вышло дополнение Mists of Pandaria! Приключения начнутся, когда вы ступите на землю Штормграда!"
17,[SERVER] Серверы закрываются через %s
18,[SERVER] Серверы будут перезапущены через %s
20,"Вышло дополнение Warlords of Draenor! Отправляйтесь в Выжженные Земли, чтобы начать приключения!"
21,Вышло дополнение Warlords of Draenor!
124,ОТЛАДКА: бой %s
