ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
퀘스트 30개 완료,경험치를 부여하는 퀘스트를 완료해야 합니다.,3,135693,200,0,0
던전 우두머리 50마리 처치,경험치를 제공하는 던전 우두머리를 처치해야 합니다.,4,135695,200,0,0
겨울맞이 축제: 섬세하게 만든 축제 모자 획득,{EventStartDate}~{EventEndDate} 동안 섬세하게 만든 축제 모자를 획득해야 합니다.,5,135697,50,0,-100
신화+ 던전 5회 완료,,6,135699,200,0,7
전역 퀘스트 15개 완료,,7,136176,150,0,0
용군단 공격대 우두머리 10명 처치,,8,136202,200,0,0
용군단 공격대 우두머리 처치 (신화 난이도),,9,136211,200,0,0
"명예 점수 7,500점 획득",,10,136220,200,0,0
전장에서 5번 승리,,11,136222,200,0,0
비 연습 전투 투기장 경기 10회 완료,,12,136224,200,0,0
주문 제작 완료,주문 제작 사무원과 대화하여 주문 제작 의뢰를 완료해야 합니다.,13,136242,200,0,0
애완동물 대전 15승,,14,136244,200,0,0
통합 진영 파티로 던전 우두머리 처치 완료,통합 진영 파티 소속으로 경험치를 제공하는 던전 우두머리를 처치해야 합니다.,16,136248,150,0,0
노스렌드 퀘스트 완료,,17,136250,100,0,0
리치 왕의 분노 시간여행 던전 5회 완료,,18,136265,250,0,0
리치 왕 처치,얼음왕관 성채에서 리치 왕을 처치해야 합니다.,19,136286,50,0,0
알터랙 계곡 전장 완료,,20,136288,100,0,0
애완동물 대전 주간: 꼬마 도우미와 함께 노스렌드 특급 조련사 꺾기,{EventStartDate}~{EventEndDate} 동안 꼬마 도우미를 한 번 이상 사용하여 모든 노스렌드 특급 조련사를 꺾어야 합니다.,21,136291,75,0,-110
시간여행: 노스렌드 낚시,{EventStartDate}~{EventEndDate} 동안 노스렌드에서 아이템을 낚아야 합니다.,22,136300,100,0,0
라그나로스 앞에서 떨기,화산 심장부에서 라그나로스에게 /추워를 사용해야 합니다.,23,136323,25,0,0
겨울맞이 축제: 특별한 날의 의상을 착용하고 나무 주위에서 춤추기,{EventStartDate}~{EventEndDate} 동안 겨울 복장을 착용한 상태로 축제 나무 주위에서 다른 플레이어와 함께 춤춰야 합니다.,24,136325,50,0,-100
얼음의 정령 100마리 처치,,25,136327,100,0,0
다크문 축제: 목표: 다크문 거북이 완료,5월 4~10일 동안 다크문 유랑단 섬에서 목표: 다크문 거북이 퀘스트를 완료해야 합니다.,26,136357,75,0,0
겨울맞이 축제: 축제 우두머리 3명 처치,{EventStartDate}~{EventEndDate} 동안 아래 나열된 우두머리 3명을 처치해야 합니다.,27,136359,50,0,-100
유랑객의 축제: 축제 참여,{EventStartDate}~{EventEndDate} 동안 크라사랑 밀림 거북 해안에서 유랑객의 축제에 참여해야 합니다.,28,136364,100,0,-70
"유랑객의 축제: 등불을 띄우고 ""거북을 기다리며"" 읽기","{EventStartDate}~{EventEndDate} 동안 크라사랑 밀림 유랑객의 축제에서 등불을 띄우고 ""거북을 기다리며""를 읽어야 합니다.",29,136366,75,0,-70
다크문 축제: 놀이기구 탑승 후 길거리표 핫도그 먹기,1월 5~11일 동안 다크문 흔들 기구 또는 롤러코스터를 탄 후에 길거리표 핫도그를 먹어야 합니다.,30,136369,25,0,-62
상대 진영 지도자 처치,,31,136449,400,0,0
눈 오는 지역 탐험,아래 지역 중 하나를 완전히 탐험해야 합니다.,32,136527,50,0,0
통합 진영 전장 5회 완료,,33,136652,150,0,0
겨울맞이 축제: 차가움 얻기,{EventStartDate}~{EventEndDate} 동안 한파의 청량석으로 차가움 효과를 얻어야 합니다.,34,136855,100,0,-100
시간여행: 드레노어 퀘스트 완료,{EventStartDate}~{EventEndDate} 동안 드레노어에서 퀘스트를 완료해야 합니다.,36,149949,100,0,0
시간여행: 드레노어의 전쟁군주 시간여행 던전 5회 완료,{EventStartDate}~{EventEndDate} 동안 드레노어의 전쟁군주 시간여행 던전을 완료해야 합니다.,37,137530,100,213,0
지옥불 성채 완료,,38,137539,150,0,0
