OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,복수 제작 발동 시 물약을 최대 $ev1%만큼 추가로 획득합니다.,24833,0,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24834,0,0,0,0
,,$@spellname370668|1을;를; 배웁니다.,24835,370668,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1%만큼 증가합니다.,24836,0,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24837,0,0,0,0
일괄 생산,,물약을 좀 더 효율적으로 생산하는 기술에 통달합니다. 해당 전문화 점수당 $en1|1이;가; $ev1만큼 증가합니다.,24838,0,4624378,0,0
,,$@spellname370745|1을;를; 배웁니다. 높은 품질의 물약을 만들고 새로운 조제법을 발견할 확률이 증가합니다.,24839,370745,0,0,0
,,물약 실험 시 5%의 확률로 돌파가 발동합니다.,24840,0,0,0,0
,,물약 실험 중 중대한 돌파를 달성할 때마다 모든 연금술 물품을 제작 시 독창성이 20만큼 증가합니다. 4시간 동안 지속됩니다.,24841,0,0,0,0
,,물약 실험 시 5%의 확률로 돌파가 발동합니다.,24842,0,0,0,0
,,물약 실험 시 10%의 확률로 돌파가 발동합니다.,24843,0,0,0,0
물약 실험,,재료에 대한 이해가 한층 깊어져 실험으로 만족스러운 결과를 얻을 확률이 증가합니다. 해당 전문화 점수당 물약 실험으로 돌파를 달성할 확률이 1%만큼 증가합니다.,24844,0,4624379,0,0
,,$@spellname370735 마무리 재료를 만들고 사용하는 법을 배웁니다. 물약 가마솥과 명민의 연금술사 돌을 만들 때 사용하면 숙련도가 향상됩니다.,24845,370735,0,0,0
,,마지막 보조 전문화를 배웁니다.,24846,0,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24847,0,0,0,0
,,선택한 보조 전문화를 배웁니다.,24848,0,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24849,0,0,0,0
,,물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24850,0,0,0,0
물약 역사,,물약 및 관련 연금술사 돌의 불가사의를 심도 있게 탐구합니다. 해당 전문화 점수당 $en1|1이;가; $ev1만큼 증가합니다.,24851,0,4624657,0,0
,,$@spellname370735 마무리 재료를 만들고 사용하는 법을 배웁니다. 바람으로 배합한 물약을 만들 때 사용하면 숙련도가 향상됩니다.,24852,370735,0,0,0
,,바람으로 배합한 물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24853,0,0,0,0
,,바람으로 배합한 물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24854,0,0,0,0
,,용의 섬 물약 사용 시 이동 속도 증가량이 증가합니다.,24855,0,0,0,0
,,바람으로 배합한 물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24856,0,0,0,0
,,바람으로 배합한 물약 조제 시 $en1|1이;가; $ev1만큼 증가합니다.,24857,0,0,0,0
,,용의 섬 물약 사용 시 일시적으로 이동 속도가 증가합니다.,24858,0,0,0,0
바람으로 배합한 물약,,각성하는 바람이나 깨어난 바람을 기본 재료로 하는 물약을 조제하는 솜씨가 향상됩니다. 해당 전문화 점수당 $en1|1이;가; $ev1만큼 증가합니다.,24859,0,4497566,0,0
,,$@spellname370735 마무리 재료를 만들고 사용하는 법을 배웁니다. 냉기로 배합한 물약을 만들 때 사용하면 숙련도가 향상됩니다.,24860,370735,0,0,0
