ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,CreateScreenFileDataID,SelectScreenFileDataID,NeutralRaceID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,MaleModelFallbackRaceID,FemaleModelFallbackRaceID,MaleTextureFallbackRaceID,FemaleTextureFallbackRaceID,PlayableRaceBit,HelmetAnimScalingRaceID,TransmogrifyDisabledSlotMask,UnalteredVisualCustomizationRaceID,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],Field_10_0_0_44649_045,BaseLanguage,CreatureType,MaleModelFallbackSex,FemaleModelFallbackSex,MaleTextureFallbackSex,FemaleTextureFallbackSex
1,Hu,Human,인간,인간,인간,인간,인간,,인간,,스톰윈드의 고결한 인간은 얼라이언스 최전선에 서서 아제로스의 적과 맞서 싸웁니다.,인간,,인간,,6292620,1,81,15007,1096,0,2,0,1,623712,131948,0,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,3
2,Or,Orc,오크,오크,오크,오크,오크,,오크,,"강대한 오크는 본디 정복자로서 아제로스에 왔으나, 지금은 먼 옛날의 명예와 전통을 되찾고자 뼈를 깎는 노력을 기울이고 있습니다.",오크,,오크,,6291596,2,21,15007,1096,1,1,0,1,623714,132003,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.077,0,0,0.07,0,0,1,7,-1,-1,-1,-1
3,Dw,Dwarf,드워프,드워프,드워프,드워프,드워프,,드워프,,아이언포지의 강건한 드워프는 세상의 오랜 비밀을 파헤치는 탐구자로 정평이 나 있습니다.,드워프,,드워프,,6291596,3,41,15007,1090,0,8,0,3,623712,131940,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
4,Ni,NightElf,나이트 엘프,나이트 엘프,나이트 엘프,나이트 엘프,칼도레이,,칼도레이,,신비로운 나이트 엘프는 자연에 해악을 끼치는 자라면 누구든 가리지 않고 맞서 아제로스의 야생을 수호합니다.,엘프,,엘프,,6291588,4,61,15007,1096,0,5,0,11,623712,131993,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
5,Sc,Scourge,언데드,언데드,언데드,언데드,포세이큰,,포세이큰,,언데드로 되살아난 포세이큰은 칠흑 같은 어둠에 물든 과거의 폐허에서 담대한 미래를 쌓아 올렸습니다.,언데드,,언데드,,6291596,5,2,15007,1096,1,4,0,9,623714,132035,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,1,7,-1,-1,-1,-1
6,Ta,Tauren,타우렌,타우렌,타우렌,타우렌,슈할로,,슈할로,,가공할 덩치를 자랑하는 타우렌은 사랑해 마지않는 대지모신을 섬기며 자연의 조화를 지켜나갑니다.,타우렌,,타우렌,,6291590,6,141,15007,1096,1,7,0,7,623714,132046,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.085,0,0,0.085,0,0,1,7,-1,-1,-1,-1
7,Gn,Gnome,노움,노움,노움,노움,노움,,노움,,체구는 왜소하지만 기상천외한 노움은 무수히 많은 기술적 경이를 창조해내 높은 명성을 구가합니다.,노움,,노움,,6291596,115,101,15007,1096,0,6,0,9,623712,430171,0,651555,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1,-1,-1
8,Tr,Troll,트롤,트롤,트롤,트롤,검은창,,검은창,,앙숙 부족에 의해 고향 밀림에서 내쫓긴 검은창 트롤은 막강한 호드와 동맹 관계를 구축했습니다.,트롤,,트롤,,6291598,116,121,15007,1096,1,3,0,7,623714,429097,0,651558,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.095,0,0,0.095,0,0,1,7,-1,-1,-1,-1
9,Go,Goblin,고블린,고블린,고블린,고블린,빌지워터,,빌지워터,,"때때로 무모한 행각을 벌이긴 하지만, 언제나 기발한 발상을 내놓는 고블린은 능숙한 기계공학자이자 타고난 상인으로 유명합니다.",고블린,,고블린,,6291716,2204,172,15007,1096,1,22,0,4,623714,319097,0,651558,0,0,0,0,0,0,0,1,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0.1,0,0,0.09,0,0,1,7,-1,-1,-1,-1
10,Be,BloodElf,블러드 엘프,블러드 엘프,블러드 엘프,블러드 엘프,신도레이,,신도레이,,참혹한 전쟁의 업화에서 살아남은 블러드 엘프는 마력이 깃든 태양샘에서 힘을 얻어 왕국을 재건합니다.,엘프,,엘프,,6291596,1610,162,15007,1096,1,11,0,8,623714,131921,0,651558,0,0,0,0,0,0,0,1,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0.087,0,0,0.087,0,0,1,7,-1,-1,-1,-1
