ID,FailureReason_lang,PlayerConditionID,OrderIndex,Flags,CampaignID
15,정찰병들이 잔달라에서 적합한 거점을 새로 찾는 중입니다.|n|n계속하려면 118 레벨이 되어야 합니다.,62175,2,0,1
16,사령관 웜베인이 잔달라를 직접 공격할 계획을 세우는 중입니다.|n|n계속하려면 120 레벨이 되어야 합니다.,62523,3,0,1
17,"나즈자타로 여정을 떠나려면 ""늑대의 공세"" 및 ""함대의 출정"" 퀘스트를 완료해야 합니다.",72028,4,0,1
23,정찰병들이 쿨 티라스에서 적합한 거점을 새로 찾는 중입니다.|n|n계속하려면 118 레벨이 되어야 합니다.,62186,2,0,2
24,나타노스가 쿨 티라스를 직접 공격할 계획을 세우는 중입니다.|n|n계속하려면 120 레벨이 되어야 합니다.,62524,3,0,2
25,"전쟁 대장정을 계속하려면 ""잃어버린 명예"" 이야기 전개를 완료해야 합니다.",69018,4,0,2
30,"나즈자타로 여정을 떠나려면 ""대족장의 명령""과 ""함대의 출정"" 퀘스트를 완료해야 합니다.",72029,5,0,2
156,"계속하려면 ""소란 피워서 죄송합니다"" 퀘스트를 완료해야 합니다.",77905,0,0,114
161,,90281,0,0,126
167,,0,1,0,111
168,"이 대장정을 계속하려면 지배의 사슬 ""시선 집중"" 장을 완료해야 합니다.",92548,2,0,113
170,대장정을 계속하려면 영예 5를 달성해야 합니다.,88564,3,0,113
171,대장정을 계속하려면 영예 8을 달성해야 합니다.,88568,4,0,113
172,대장정을 계속하려면 영예 11을 달성해야 합니다.,86974,5,0,113
174,대장정을 계속하려면 영예 13을 달성해야 합니다.,86977,6,0,113
175,대장정을 계속하려면 영예 17을 달성해야 합니다.,86981,7,0,113
176,대장정을 계속하려면 영예 22를 달성해야 합니다.,86990,9,0,113
177,계속하려면 $pcMinLevel 레벨을 달성해야 합니다.,87254,3,0,114
178,계속하려면 $pcMinLevel 레벨을 달성해야 합니다.,87384,1,0,124
186,"대장정을 계속하려면 ""승천의 보루의 부름"" 퀘스트를 완료해야 합니다.",88058,0,0,119
187,"대장정을 계속하려면 ""말드락서스의 부름"" 퀘스트를 완료해야 합니다.",88059,0,0,115
188,"대장정을 계속하려면 ""몽환숲의 부름"" 퀘스트를 완료해야 합니다.",88060,0,0,117
189,"대장정을 계속하려면 ""레벤드레스의 부름"" 퀘스트를 완료해야 합니다.",88061,0,0,113
190,"이 대장정을 계속하려면 지배의 사슬 ""시선 집중"" 장을 완료해야 합니다.",92548,2,0,119
191,대장정을 계속하려면 영예 5를 달성해야 합니다.,88561,3,0,119
192,대장정을 계속하려면 영예 8을 달성해야 합니다.,88565,4,0,119
193,대장정을 계속하려면 영예 11을 달성해야 합니다.,86212,5,0,119
194,대장정을 계속하려면 영예 13을 달성해야 합니다.,86213,6,0,119
195,대장정을 계속하려면 영예 17을 달성해야 합니다.,86214,7,0,119
196,대장정을 계속하려면 영예 20을 달성해야 합니다.,86215,8,0,119
197,"이 대장정을 계속하려면 지배의 사슬 ""시선 집중"" 장을 완료해야 합니다.",92548,2,0,117
198,대장정을 계속하려면 영예 5를 달성해야 합니다.,88563,3,0,117
199,대장정을 계속하려면 영예 8을 달성해야 합니다.,88567,4,0,117
200,대장정을 계속하려면 영예 11을 달성해야 합니다.,86972,5,0,117
201,대장정을 계속하려면 영예 13을 달성해야 합니다.,86975,6,0,117
202,대장정을 계속하려면 영예 17을 달성해야 합니다.,86979,7,0,117
203,대장정을 계속하려면 영예 20을 달성해야 합니다.,86982,8,0,117
204,"이 대장정을 계속하려면 지배의 사슬 ""시선 집중"" 장을 완료해야 합니다.",92548,2,0,115
205,대장정을 계속하려면 영예 5를 달성해야 합니다.,88562,3,0,115
206,대장정을 계속하려면 영예 8을 달성해야 합니다.,88566,4,0,115
207,대장정을 계속하려면 영예 11을 달성해야 합니다.,86973,5,0,115
208,대장정을 계속하려면 영예 13을 달성해야 합니다.,86976,6,0,115
209,대장정을 계속하려면 영예 17을 달성해야 합니다.,86980,7,0,115
210,대장정을 계속하려면 영예 20을 달성해야 합니다.,86983,8,0,115
211,"나락에서 ""잊힌 자의 감옥"" 퀘스트를 수락하여 대장정을 이어가십시오.",88895,1,0,117
212,"나락에서 ""잊힌 자의 감옥"" 퀘스트를 수락하여 대장정을 이어가십시오.",88895,1,0,113
213,"나락에서 ""잊힌 자의 감옥"" 퀘스트를 수락하여 대장정을 이어가십시오.",88895,1,0,115
214,"나락에서 ""잊힌 자의 감옥"" 퀘스트를 수락하여 대장정을 이어가십시오.",88895,1,0,119
215,,0,0,0,111
216,,88933,0,0,124
217,,89130,1,0,114
218,,89131,2,0,114
221,대장정을 계속하려면 영예 20을 달성해야 합니다.,86984,8,0,113
240,대장정을 계속하려면 잿불 지구에서 로렌트를 구해야 합니다.,88026,10,0,113
246,이 대장정을 계속하려면 성약의 단 대장정을 완료해야 합니다.,92551,0,0,138
247,대장정을 계속하려면 영예 44를 달성해야 합니다.,92797,1,0,138
248,대장정을 계속하려면 영예 47을 달성해야 합니다.,91334,2,0,138
249,대장정을 계속하려면 영예 50을 달성해야 합니다.,91335,3,0,138
250,"레벤드레스에서 ""새벽요새의 죄수"" 퀘스트를 수락하고 완료하여 대장정을 이어가십시오.",96305,4,0,138
251,대장정을 계속하려면 영예 52을 달성해야 합니다.,91336,5,0,138
252,대장정을 계속하려면 영예 56을 달성해야 합니다.,91337,6,0,138
253,대장정을 계속하려면 영예 22를 달성해야 합니다.,86216,9,0,119
254,대장정을 계속하려면 영예 22를 달성해야 합니다.,86989,9,0,115
255,대장정을 계속하려면 영예 22를 달성해야 합니다.,86988,9,0,117
256,볼바르의 계획을 확인하려면 나중에 돌아오십시오.,95984,0,0,158
257,볼바르의 계획을 확인하려면 나중에 돌아오십시오.,95985,1,0,158
258,볼바르의 계획을 확인하려면 나중에 돌아오십시오.,95986,2,0,158
259,볼바르의 계획을 확인하려면 나중에 돌아오십시오.,95987,3,0,158
261,대장정을 계속하려면 영예 58을 달성해야 합니다.,91338,7,0,138
266,,102816,0,0,189
269,,103531,0,0,174
271,,103529,1,0,174
272,,103530,2,0,174
273,,103799,0,0,165
277,,103948,0,0,199
279,이야기를 계속 진행하려면 이스카라 투스카르 영예 11 레벨을 달성해야 합니다.,34450,0,0,194
280,이야기를 계속 진행하려면 용비늘 원정대 영예 13 레벨을 달성해야 합니다.,34450,0,0,197
281,이야기를 계속 진행하려면 용비늘 원정대 영예 24 레벨을 달성해야 합니다.,34450,1,0,197
282,이야기를 계속 진행하려면 발드라켄 협의회 영예 19 레벨을 달성해야 합니다.,99211,0,0,190
285,현재 베타에서는 이용할 수 없는 콘텐츠입니다.,34450,2,0,197
286,현재 베타에서는 이용할 수 없는 콘텐츠입니다.,34450,1,0,194
289,,78570,0,0,118
307,"대장정을 계속하려면 ""자리 잡기"" (병사 콜) 퀘스트를 수락하십시오.",108912,0,1,212
318,정찰병들이 잔달라에서 적합한 거점을 새로 찾는 중입니다.|n|n계속하려면 114 레벨이 되어야 합니다.,62173,0,0,1
319,정찰병들이 전쟁 물자로 쓸 아제라이트를 찾는 중입니다.|n|n계속하려면 116 레벨이 되어야 합니다.,62174,1,0,1
320,,108981,1,0,215
322,,109025,2,0,215
323,정찰병들이 쿨 티라스에서 적합한 거점을 새로 찾는 중입니다.|n|n계속하려면 114 레벨이 되어야 합니다.,62184,0,0,2
324,정찰병들이 전쟁 물자로 쓸 아제라이트를 찾는 중입니다.|n|n계속하려면 48 레벨이 되어야 합니다.,62185,1,0,2
345,,109197,1,0,216
346,,109200,2,0,216
350,,109223,3,0,216
351,,109640,4,0,216
352,,109651,0,0,217
353,,109679,5,0,216
354,,109791,0,1,218
355,,109813,0,1,222
356,,109651,0,0,223
357,,109197,1,0,225
358,,109200,2,0,225
359,,109223,3,0,225
360,,110188,4,0,225
361,,109679,5,0,225
362,,109866,1,0,226
363,,109868,2,0,226
364,,110020,0,0,216
365,,110020,0,0,225
374,,119768,0,0,247
375,,119784,1,0,247
376,,119786,2,0,247
378,,119802,3,0,247
379,,119938,1,0,246
380,,119768,0,0,248
381,,119784,1,0,248
382,,119786,2,0,248
383,,119802,3,0,248
384,,119916,1,0,249
385,,119918,2,0,249
386,,119921,3,0,249
387,,119922,4,0,249
388,,119923,5,0,249
389,,119924,6,0,249
390,,119925,7,0,249
391,,119927,8,0,249
392,,119928,9,0,249
393,,119929,10,0,249
394,,119930,11,0,249
395,,119805,2,0,246
396,,119939,3,0,246
397,,119940,4,0,246
398,,119942,5,0,246
399,,119941,6,0,246
400,,119937,7,0,246
401,,119936,8,0,246
402,,119935,9,0,246
403,,119934,10,0,246
404,,119932,11,0,246
405,,119951,0,0,250
406,,119951,0,0,251
408,,119968,0,0,252
409,,119969,0,0,253
410,,119969,0,0,254
412,대장정을 계속하려면 80 레벨을 달성해야 합니다.,127956,0,0,240
414,,119967,0,0,246
415,,119967,0,0,249
419,,123559,0,0,256
420,,123560,1,0,256
421,,123561,2,0,256
425,,124973,0,1,215
426,,124976,0,1,226
427,알레리아 윈드러너의 전언을 기다려야 합니다.,34450,1,0,240
428,알레리아 윈드러너의 전언을 기다려야 합니다.,34450,2,0,240
430,"시작하려면 ""내부 전쟁"" 대장정을 완료하십시오.",34450,0,0,265
431,"시작하려면 ""남겨진 그림자"" 대장정을 완료하십시오.",34450,1,0,265
433,대장정을 계속 진행하려면 내부 전쟁 영예 진영의 영예 4 등급을 달성해야 합니다.,127075,3,0,240
434,달라란에서 카드가와 대화하여 카즈 알가르로 출발해야 합니다.,127637,1,0,235
435,알레리아 윈드러너의 전언을 기다려야 합니다.,127958,4,0,240
436,알레리아 윈드러너의 전언을 기다려야 합니다.,127960,5,0,240
437,알레리아 윈드러너의 전언을 기다려야 합니다.,127961,6,0,240
441,카드가의 전언을 기다려야 합니다.,34450,2,0,265
445,,132762,0,0,235
446,,132761,0,0,201
449,렌직이 가즈로를 설득할 때까지 기다려야 합니다.,135473,0,0,264
509,이번 주 후반에 오아시스로 가야 합니다.,137010,0,0,283
510,다음 주에 오아시스로 가야 합니다.,137012,1,0,283
511,이번 주 후반에 오아시스로 가야 합니다.,137013,2,0,283
512,다음 주에 오아시스로 가야 합니다.,137014,3,0,283
