ID,Description_lang,OrderIndex,ProfTraitTreeID
1,원시의 용암 판금 방어구를 만들 수 있습니다.,0,105
2,판금 방어구 제작 시 독창성과 지혜가 증가합니다.,1,105
3,대가의 망치를 만들어 자유롭게 자신의 판금 방어구를 수리할 수 있습니다.,2,105
5,옷감 두루마리와 광택천 제작의 대가가 됩니다.,1,161
6,계약서 및 서신 제작의 대가가 됩니다.,2,176
7,물약 사용 시 이동 속도나 치유량이 약간 증가합니다.,1,58
8,무두질 시 희귀한 재료를 제공하는 생명체를 유인하는 미끼를 만들 수 있습니다.,0,145
9,동물상 룬 및 반투스 룬 제작의 대가가 됩니다.,2,148
10,선택 및 마무리 재료로 직접 만든 무기와 도구를 취향껏 개조할 수 있습니다.,2,102
11,선택 및 마무리 재료로 직접 만든 가죽 방어구를 취향껏 개조할 수 있습니다.,2,126
12,선택 및 마무리 재료로 직접 만든 사슬 방어구를 취향껏 개조할 수 있습니다.,2,124
13,선택 재료로 반지와 목걸이를 취향껏 개조할 수 있습니다.,2,131
14,보석 추출 시 다양한 보석이 들어 있는 오색 광석을 발견할 수 있습니다.,0,128
15,제작 시 지혜와 효율이 증가합니다.,2,207
16,토양에 심으면 약초로 자라나는 마법 씨앗을 발견할 수 있습니다.,1,235
17,야외에서 야수 및 용족에게 추가 피해를 입힙니다.,0,144
18,천 방어구 제작 시 독창성과 지혜가 증가합니다.,1,164
19,마법부여 제작 시 독창성과 지혜가 증가합니다.,2,240
20,가죽 방어구 제작 시 독창성과 지혜가 증가합니다.,1,126
21,사슬 방어구 제작 시 독창성과 지혜가 증가합니다.,1,124
22,"모든 보석세공 디자인 제작 시 독창성과 지혜, 제작 속도가 증가합니다.",0,130
23,모든 보석세공 디자인의 독창성 및 지혜 효율이 증가합니다.,1,130
24,모든 보석세공 디자인의 숙련도가 증가합니다.,0,130
25,장비를 취향껏 개조할 수 있는 선택 재료 설계도를 발견할 수 있습니다.,1,205
26,대가의 망치를 만들어 자유롭게 자신의 무기를 수리할 수 있습니다.,3,102
27,실험을 통해 독성 물약과 약병 조제법을 배울 수 있습니다.,3,59
28,고철을 수집한 후 뒤져 보물을 찾을 수 있습니다.,1,207
29,마무리 재료를 사용해 천 방어구를 취향껏 개조할 수 있습니다.,2,164
30,무두질 시 요리에 쓸 수 있는 고기를 채취합니다.,2,144
