Name_lang,Description_lang,ID,StoreFrontID,AccountStoreCategoryID,OrderIndex,Price,CurrencyTypesID,Field_11_0_7_57361_008,RefundDuration,Field_11_0_7_57361_010,Field_11_0_7_57361_011,SpellID,TransmogSetID,CreatureDisplayInfoID,UiModelSceneID,Icon
행복이,"|cFF00ccff내부 전쟁 애완동물|r|n|cFF1eff00약탈폭풍 애완동물|r|n|n행복이 애완동물을 해제합니다. 약탈폭풍에서 다카쉬 그림레저를 통해 애완동물을 소환할 수 있습니다.|n|n""이 친구는 그저 여기 있는 것만으로도 즐겁다네요.""",1,1,1,10,250,3139,0,14400,0,0,439475,0,118654,0,0
방울이,"|cFF00ccff내부 전쟁 애완동물|r|n|cFF1eff00약탈폭풍 애완동물|r|n|n방울이 애완동물을 해제합니다. 약탈폭풍에서 다카쉬 그림레저를 통해 애완동물을 소환할 수 있습니다.|n|n""당신을 따라 집까지 왔습니다!""|n|n|cFFFFFFFF추가 애완동물: 핀치|r|n|n|CFFa335ee클래식 애완동물|r|n|n대격변 클래식에서 약탈자 핀치 애완동물을 해제합니다.|n|n""뾰족한 집게발을 조심하세요!""",2,1,1,20,500,3139,0,0,0,0,439477,0,118078,0,0
글램록,"|cFF00ccff내부 전쟁 애완동물|r|n|cFF1eff00약탈폭풍 애완동물|r|n|n글램록 애완동물을 해제합니다. 약탈폭풍에서 다카쉬 그림레저를 통해 애완동물을 소환할 수 있습니다.|n|n""노획물을 애호하는 친구랍니다.""",3,1,1,30,1000,3139,0,14400,0,0,439478,0,118606,0,0
반짝집게발,"|cFF00ccff내부 전쟁 애완동물|r
|cFF1eff00약탈폭풍 애완동물|r

반짝집게발 애완동물을 해제합니다. 약탈폭풍에서 다카쉬 그림레저를 통해 애완동물을 소환할 수 있습니다.

""반짝이는 모든 걸 홱 낚아채는 게 몸에 뱄다네요.""",4,1,1,40,2000,3139,0,14400,4,0,0,0,124130,0,0
은빛 바다군마,"|cFF00ccff내부 전쟁 탈것|r|n|n은빛 바다군마 수중 탈것을 해제합니다.|n|n""새우 냄새가 진동합니다.""",5,1,2,10,1500,3139,0,14400,0,0,437516,0,92255,965,0
왕실 바다깃털,"|cFF00ccff내부 전쟁 탈것|r|n|n왕실 바다깃털 비행 탈것을 해제합니다.|n|n""지금까지 모은 노획물이 얼마나 많은데, 거대 앵무새 한 마리쯤은 있어야지요.""",6,1,2,20,5000,3139,0,14400,0,0,437517,0,117981,80,0
폴리 로저,"|cFF00ccff내부 전쟁 탈것|r|n|n폴리 로저 하늘비행 탈것을 해제합니다.|n|n""선장이 사나운 거대 앵무새를 내어줬습니다. 행운을 빕니다!""|n|n|cFFFFFFFF추가 탈것: 폴리 로저|r|n|n|CFFa335ee클래식 탈것|r|n|n대격변 클래식에서 폴리 로저 비행 탈것을 해제합니다.",7,1,2,30,5000,3139,0,0,0,0,437164,0,117262,80,0
약탈왕의 한밤 악어,"|cFF00ccff내부 전쟁 탈것|r

약탈왕의 한밤 악어 탈것을 해제합니다.

""호화로운 고급 검은 가죽으로 안장을 만들었습니다.""",8,1,2,40,5000,3139,0,14400,4,0,0,0,121170,80,0
말로하새,"|cFF00ccff내부 전쟁 애완동물|r
|cFF1eff00약탈폭풍 애완동물|r

말로하새 애완동물을 해제합니다. 약탈폭풍에서 다카쉬 그림레저를 통해 애완동물을 소환할 수 있습니다.

""참 역설적이게도 말이 잘 통하는 성격은 아닙니다.""",9,1,1,50,2000,3139,0,14400,4,0,0,0,124174,0,0
치명적인 단검,|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Deadly Dag,10,1,4,10,250,3139,0,14400,1,0,439389,3468,0,0,0
검은강철 사브르,|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Blacksteel,11,1,4,20,250,3139,0,14400,1,0,439391,3470,0,0,0
피투성이 강철 학살도끼,|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Bloody Iro,12,1,4,30,250,3139,0,14400,1,0,439392,3471,0,0,0
석회질 클레이모어,|cFF00ccffThe War Within Appearance|r|n|cFF1eff00Plunderstorm Appearance|r|n|nUnlocks the Calcified ,13,1,4,40,250,3139,0,14400,1,0,439390,3469,0,0,0
뱃사람의 삽,"|cFF00ccffThe War Within Appearance|r
|cFF1eff00Plunderstorm Appearance|r

Unlocks the Swabbie's ",14,1,4,50,1000,3139,0,14400,5,0,0,4154,0,0,0
뱃사람의 노,"|cFF00ccffThe War Within Appearance|r
|cFF1eff00Plunderstorm Appearance|r

Unlocks the Swabbie's ",15,1,4,60,1000,3139,0,14400,5,0,0,4155,0,0,0
약탈왕의 목 절단기,|cFF00ccff내부 전쟁 형상|r|n|cFF1eff00약탈폭풍 형상|r|n|n약탈왕을 해제합니다.,16,1,4,70,1000,3139,0,14400,1,0,439386,3466,0,0,0
