ID,Title_lang,Description_lang,UiTextureKitID,RewardQuestID,Prerequisite,Field_9_0_1_35755_007,Completed,OnlyStallIf,UiQuestDetailsThemeID,Flags,DisplayPriority,Field_10_0_2_45779_012,Field_10_0_2_46144_013
1,전쟁 대장정,얼라이언스의 용사로서 전쟁에 참전해 호드와 그 새로운 동맹에 맞서 싸워 의무를 다해야 합니다.,261,0,5793,5793,73395,88077,8,1,0,0,0
2,전쟁 대장정,호드를 위하여!,262,0,5793,5793,73395,0,10,0,0,0,0
3,Test Campaign,,261,52262,5703,0,0,0,0,0,0,0,0
111,레벤드레스의 주인,대영주 데나트리우스라면 령이 메말라가는 현상에 종언을 고할 비결을 알지도 모릅니다. 그의 영역 레벤드레스로 모험을 떠나 자세히 알아보아야 합니다.,5279,0,76298,89063,0,85362,16,0,95,105475,0
113,벤티르 대장정,레벤드레스를 구원하는 길은 험난하지만 죄악의 몰락지의 검은 왕자는 발을 내디딜 준비가 되어 있습니다. 그가 주인을 비롯한 충성파의 손아귀에서 레벤드레스를 탈환하려면 당신의 도움이 필요할 것입니다.,5285,0,76299,70102,92582,80502,20,0,94,105475,0
114,승천의 보루,당신은 앞서 나락에서 조우한 정체불명의 나락살이 키리안을 조사하는 임무를 맡았습니다. 승천의 보루의 집정관만이 그들의 진정한 본성을 알 것입니다.,5280,0,77903,89061,80035,85362,15,0,98,105475,0
115,전쟁의 기술,야심 넘치는 강령군주가 멸망의 위기를 앞두고 있습니다. 서로 이질적인 편린을 군대로 벼려내어 운명 그 자체에 도전해야 합니다.,5287,0,78568,70104,92799,0,19,0,94,105475,0
117,나이트 페이 대장정,몽환숲이 시들어가고 있습니다. 위대한 천상의 나무가 한 그루 한 그루 쓰러질 때마다 겨울 여왕의 근심은 깊어져만 갑니다. 여왕과 밤의 궁정이 숲의 균형을 돌려놓으려면 당신의 도움이 필요합니다.,5302,0,78569,70103,92586,0,22,0,94,105475,0
118,시초자의 칼날,말드락서스 군대가 승천의 보루를 급습했습니다. 전쟁으로 황폐해진 영역으로 넘어가이유를 밝혀내야 합니다.,5282,0,88931,89062,0,85362,18,0,97,105475,0
119,키리안 대장정,승천의 보루의 고결한 키리안은 영역을 무로 되돌리려는 이탈자 병력의 위협을 앞두고 백척간두에 서 있습니다. 이들이 승천의 보루를 수복하고 어둠땅을 구해내려면 당신의 지원이 필요합니다.,5283,0,78609,70101,86729,0,17,0,94,105475,0
124,몽환숲의 터전들,겨울 여왕에게 중대한 전언을 알려야 합니다. 천상을 연상시키는 몽환숲에서 겨울 여왕을 찾아보십시오.,5301,0,84196,89060,0,85362,21,0,96,105475,0
125,어둠땅 대장정,어둠땅 대장정 중간 과정에 있는 플레이어를 위한 일반 대장정 범주입니다.,5362,0,89137,89138,89140,0,26,0,99,105475,0
126,암흑의 그림자,"데나트리우스의 음모가 만천하에 밝혀진 지금, 어떻게 대응할지 결단을 내려야 합니다.",5284,0,85641,89059,0,0,26,0,94,105475,0
130,어둠땅,,0,0,5703,5703,0,0,0,1,0,0,0
131,운명의 실타래,,0,0,87258,89064,0,0,26,0,99,105475,0
133,성약의 단 튜토리얼,,0,0,5703,5703,0,0,0,0,0,0,0
134,성약의 단 튜토리얼,,0,0,5703,5703,0,0,0,0,0,0,0
135,성약의 단 튜토리얼,,0,0,5703,5703,0,0,0,0,0,0,0
136,성약의 단 튜토리얼,,0,0,5703,5703,0,0,0,0,0,0,0
137,성약의 단 튜토리얼,,0,0,5703,5703,0,0,0,0,0,0,0
138,지배의 사슬,새로운 9.1 이야기가 펼쳐지는 대장정입니다.,5362,0,92542,92543,92550,0,26,0,93,105475,0
140,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
141,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
142,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
143,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
144,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
145,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
146,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
147,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
148,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
149,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
150,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
151,Intro Start,,0,0,5703,5703,0,0,0,0,0,0,0
153,9.0 성약의 단 대장정 2장 - 토르가스트,바인 찾기 및 룬조각사 사전 조건 잠금 해제,0,0,5703,5703,0,0,0,0,0,0,0
154,토르가스트 이야기 진행 건너뛰기,,0,0,5703,5703,0,0,0,0,0,0,0
155,9.0 성약의 단 대장정 3장 - 어둠을 꿰뚫는 시선,안두인 설명 및 컷신 완료,0,0,5703,5703,0,0,0,0,0,0,0
156,어둠땅,,0,0,5703,5703,0,0,0,1,0,0,0
157,무수히 많은 것이 든 상자 도입부,,0,0,5703,5703,0,0,0,0,90,0,0
158,태초의 존재의 비밀,새로운 9.2 이야기가 펼쳐지는 대장정입니다.,5408,0,94855,0,94857,0,31,0,91,105475,0
159,드랙티르의 각성,"드랙티르 기원사 시작 지역, 지역 0, 얼라이언스",5467,0,99583,96647,99952,0,46,0,108,0,0
160,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
161,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
162,도입부 시작,,0,0,5703,5703,0,0,0,0,0,0,0
163,도입부 시작,,0,0,5703,5703,0,0,0,0,0,0,0
164,6장으로 건너뛰기,,0,0,5703,5703,0,0,0,0,0,0,0
165,용비늘 원정대,저지대 야영지로 향하는 인트로 (오그리마/스톰윈드),5468,0,21439,21439,0,0,50,0,108,21439,0
166,온아라 평야,평원 레벨 상승 퀘스트,5469,0,21439,21439,0,0,48,0,106,104511,0
167,5장으로 건너뛰기,,0,0,5703,5703,0,0,0,0,0,0,0
168,7장으로 건너뛰기,,0,0,5703,5703,0,0,0,0,0,0,0
169,깨어나는 해안,저지대 레벨 상승 퀘스트,5471,0,21439,21439,0,0,49,0,107,104511,0
173,드랙티르의 각성,"드랙티르 기원사 시작 지역, 지역 0, 호드",5467,0,99584,96645,99954,0,46,0,108,0,0
174,하늘빛 평원,지역 3에서 레벨을 올려야 합니다.,5466,0,21439,21439,0,0,47,0,105,21439,0
189,탈드라서스,지역 4 레벨 상승,5470,0,21439,21439,0,0,51,0,104,104511,0
190,꿈꾸는 자,최고 레벨 녹색용 지역 2,5469,0,21439,21439,0,0,48,0,0,0,34450
191,전문 기술 학습 건너뛰기,,0,0,5703,5703,0,0,0,0,0,0,0
192,은빛 사명,티르 대장정 1-4장 최고 레벨 티르홀드 지역 4,5470,0,122671,122671,122676,0,51,0,1089,0,34450
193,발드라켄,,5470,0,21439,21439,0,0,51,0,0,0,0
194,이스카라 투스카르,최고 레벨 영예 이스카라 투스카르 지역 1,5471,0,21439,21439,0,0,49,0,103,0,34450
197,용비늘 원정대,용비늘 원정대 영예 대장정,5468,0,21439,21439,0,0,50,0,103,0,21439
198,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
199,모체 서약의 돌,10.0 - Raid Opening Quests,5470,0,21439,103947,0,0,51,0,0,0,0
200,흑요석 성채,,0,0,5703,5703,0,0,0,0,0,0,0
201,용군단,거장 대장정,5468,0,131377,131377,104950,0,50,2,1099,0,0
203,넬타리온의 불씨,10.0.7/10.1 Narrative Campaign,5522,0,122679,122679,123577,0,53,0,1070,0,34450
206,그간 있었던 일!,,0,0,5703,5703,0,0,0,0,0,0,0
207,하늘빛 평원,숨겨진 대장정,5466,0,5703,5703,5703,5703,47,0,0,5703,0
