Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2]
옥룡사,2,960,2,4,21775,1800,1440,1080
스톰스타우트 양조장,56,961,2,0,21783,2700,1260,720
석양문,57,962,2,0,21776,2700,1320,780
음영파 수도원,58,959,2,0,21781,3600,2100,1260
니우짜오 사원 공성전투,59,1011,2,0,21782,3000,1800,1050
모구샨 궁전,60,994,2,0,21777,2700,1440,720
스칼로맨스,76,1007,2,0,21780,3300,1980,1140
붉은십자군 전당,77,1001,2,0,21778,2700,1320,780
붉은십자군 수도원,78,1004,2,0,21779,2700,1320,780
하늘탑,161,1209,2,0,21789,3400,1700,1020
피망치 잿가루 광산,163,1175,2,0,21785,3600,2100,1320
아킨둔,164,1182,2,0,21784,3300,1920,1140
어둠달 지하묘지,165,1176,2,5,21788,1980,1584,1188
파멸철로 정비소,166,1208,2,5,21786,1800,1440,1080
검은바위 첨탑 상층,167,1358,2,0,21791,5100,2580,1500
상록숲,168,1279,2,5,21790,1980,1584,1188
강철 선착장,169,1195,2,5,21787,1800,1440,1080
아즈샤라의 눈,197,1456,6,0,21796,2100,1680,1260
어둠심장 숲,198,1466,6,0,21795,1800,1440,1080
검은 떼까마귀 요새,199,1501,6,0,21793,2160,1728,1296
용맹의 전당,200,1477,6,0,21797,2280,1824,1368
넬타리온의 둥지,206,1458,6,6,21799,1980,1584,1188
감시관의 금고,207,1493,6,0,21800,1980,1584,1188
영혼의 아귀,208,1492,6,0,21798,1440,1152,864
비전로,209,1516,6,0,21792,2700,2160,1620
별의 궁정,210,1571,6,0,21794,1800,1440,1080
다시 찾은 카라잔: 하층,227,1651,6,0,21801,2520,2016,1512
영원한 밤의 대성당,233,1677,6,0,21803,2100,1680,1260
다시 찾은 카라잔: 상층,234,1651,2,0,21802,2100,1680,1260
삼두정의 권좌,239,1753,6,0,21804,2100,1680,1260
아탈다자르,244,1763,4,7,21805,1800,1440,1080
자유지대,245,1754,4,7,21806,1800,1440,1080
톨 다고르,246,1771,0,7,21812,2160,1728,1296
왕노다지 광산!!,247,1594,0,7,21814,1980,1584,1188
웨이크레스트 저택,248,1862,0,7,21809,2220,1776,1332
왕들의 안식처,249,1762,0,7,21813,2520,2016,1512
세스랄리스 사원,250,1877,0,7,21808,2160,1728,1296
썩은굴,251,1841,0,7,21807,1800,1440,1080
폭풍의 사원,252,1864,0,7,21810,2520,2016,1512
보랄러스 공성전,353,1822,0,7,21811,1980,1584,1188
작전명: 메카곤 - 고철장,369,2097,4,7,21815,2280,1824,1368
작전명: 메카곤 - 작업장,370,2097,0,7,21816,1920,1536,1118
티르너 사이드의 안개,375,2290,0,8,21820,1800,1440,1080
죽음의 상흔,376,2286,0,8,21818,1860,1488,1116
저편,377,2291,0,8,21824,2580,2064,1548
속죄의 전당,378,2287,0,8,21821,1920,1536,1152
역병 몰락지,379,2289,0,8,21819,2280,1824,1368
핏빛 심연,380,2284,0,8,21825,2460,1968,1476
승천의 첨탑,381,2285,0,8,21822,2340,1872,1404
고통의 투기장,382,2293,0,8,21823,2040,1632,1224
타자베쉬: 경이의 거리,391,2441,0,8,21826,2340,1872,1404
타자베쉬: 소레아의 승부수,392,2441,0,8,21827,1800,1440,1080
루비 생명의 웅덩이,399,2521,0,9,22268,1800,1440,1080
노쿠드 공격대,400,2516,0,9,22270,2400,1920,1440
하늘빛 보관소,401,2515,0,9,22271,2250,1800,1350
알게타르 대학,402,2526,0,9,22274,1920,1536,1152
울다만: 티르의 유산,403,2451,0,9,22267,2100,1680,1260
넬타루스,404,2519,0,9,22269,1980,1584,1188
담쟁이가죽 골짜기,405,2520,0,9,22272,2100,1680,1260
주입의 전당,406,2527,0,9,22273,2100,1680,1260
소용돌이 누각,438,657,0,9,23327,1800,1440,1080
파도의 왕좌,456,643,0,9,24627,2040,1632,1224
무한의 여명: 갈라크론드의 몰락,463,2579,0,8,24972,2040,1632,1224
무한의 여명: 무르도즈노의 현신,464,2579,0,9,24973,2160,1728,1296
신성한 불꽃의 수도원,499,2649,0,10,25990,1950,1560,1170
부화장,500,2648,0,10,25992,1740,1392,1044
바위금고,501,2652,0,10,25996,1980,1584,1188
실타래의 도시,502,2669,0,10,25997,2100,1680,1260
메아리의 도시 아라카라,503,2660,0,10,25993,1800,1440,1080
어둠불꽃 동굴,504,2651,0,10,25991,1860,1488,1116
새벽인도자호,505,2662,0,10,25994,1860,1488,1116
잿불맥주 양조장,506,2661,0,10,25995,1980,1584,1188
그림 바톨,507,670,2,3,26055,2040,1632,1224
작전명: 수문,525,2773,2,10,27048,1980,1584,1188
