ID,Header_lang,TopLeftFeatureTitle_lang,TopLeftFeatureDesc_lang,BottomLeftFeatureTitle_lang,BottomLeftFeatureDesc_lang,RightFeatureTitle_lang,RightFeatureDesc_lang,AllianceQuestID,HordeQuestID,ScreenType,TextureKitID,SoundKitID,PlayerConditionID,CharLevelConditionID,RequiredTimeEventPassed
19,어둠땅 사전 패치 신규 콘텐츠!,레벨업 개편,이야기를 보다 매끄럽게 진행하며 최대 50 레벨까지 성장시키십시오!,캐릭터 꾸미기,미용실에서 완전히 새로워진 외형을 만나보십시오.,엄습하는 죽음,변경된 직업 능력을 살펴보고 다가올 어둠에 대비하십시오.,60113,60115,0,5364,0,0,87298,119
20,어둠땅 신규 콘텐츠!,성약의 단,"네 가지 특별한 성약의 단 중 한 곳에
충성을 바치고 새로운 능력을 손에 넣으십시오.",캐릭터 꾸미기,미용실에서 완전히 새로워진 외형을 만나보십시오.,어둠땅,"사후의 세계를 탐험하며
죽음의 수수께끼를 파헤쳐 보십시오.",60545,61874,0,5365,0,0,87299,120
40,지배의 사슬 신규 콘텐츠!,코르시아 소집 명령,다시 발견된 비밀의 도시에서 간수의 병력을 몰아내야 합니다.,토르가스트 업데이트,개편된 진행 시스템을 통해 새로운 경지에 올라서 보십시오.,몽환숲 전투,밴시 여왕의 침략으로부터 영원의 숲을 지켜내야 합니다!,63576,63576,0,5403,0,0,92337,154
41,,타자베쉬,미지의 시장에서 이판사판의 중개자 도난 사건을 막아내십시오!,2 시즌이 시작됩니다,"던전 및 플레이어 간 전투 보상, 새로운 쐐기돌 속성: 고통이 업데이트됐습니다.",지배의 성소,간수의 요새로 진격해 고대하던 실바나스 윈드러너와의 전투를 치르십시오!,0,0,1,5404,0,0,92337,123
42,9.1.5 패치 신규 콘텐츠!,시간여행: 군단,신화+ 군단 던전과 마법사 탑에서 여러분의 능력을 시험해 보세요.,레벨업을 레벨업!,"부 캐릭터 육성을 위한 레벨업, 평판, 장비가 개선되었습니다!",성약의 단 업데이트,영예 최대 레벨을 달성하면 성약의 단을 자유롭게 바꿀 수 있습니다.,0,0,0,5416,0,0,92337,176
43,영원의 끝 신규 콘텐츠!,태초의 존재의 암호,자동기계의 언어를 배우고 어마어마한 보상을 잠금 해제하십시오.,간수의 시험,토르가스트 모든 구역에서 위험천만한 적이 출현하는 8개의 층을 돌파해야 합니다.,제레스 모르티스,태초의 존재의 초자연적인 영역에서 간수의 세력에 맞서십시오.,64942,64942,0,5442,0,0,92337,204
44,3 시즌 신규 콘텐츠!,3 시즌,"던전 및 플레이어 간 전투 보상, 새로운 쐐기돌 속성: 암호가 업데이트됐습니다.",직업 세트,어둠땅을 구하기 위한 전투에 도움이 될 독특한 방어구와 보너스입니다.,태초의 존재의 매장터,금지된 성소를 탐험하고 현실을 지배하려는 간수의 계획을 저지하십시오.,0,0,0,5443,0,0,92337,149
45,9.2.5 패치 신규 콘텐츠!,로데론 퀘스트,과연 포세이큰이 로데론의 폐허를 되찾고 새로운 미래를 만들어 나갈 수 있을까요?,수수께끼 도가니,제레스 모르티스 고대의 경이 속에 마련된 신규 플레이어 간 전투 투기장에서 전투를 치르세요.,통합 진영 인스턴스,"이제 처음으로 던전, 공격대, 평점 플레이어 간 전투 파티를 구성할 때 양쪽 진영 플레이어와 함께해 보세요!",0,0,0,5430,0,0,92337,247
46,4 시즌 신규 콘텐츠!,어둠땅 4 시즌,신화 쐐기돌 던전과 플레이어 간 전투에서 새로운 보상을 얻을 수 있습니다.,신규 신화+ 던전,신화 속성이 추가된 대표적인 낭만 던전을 경험해 보세요!,운명의 공격대,어둠땅 공격대로 돌아가 새로운 도전과 보상을 만나보십시오.,0,0,0,5431,0,0,92337,248
47,용군단 사전 패치 신규 콘텐츠!,사용자 인터페이스 업데이트,사용자 인터페이스가 새롭게 바뀌었습니다. 새로운 편집 모드로 취향에 맞게 구성해 보세요!,용군단 출시 임박!,11월 29일,새로운 특성 시스템,완전히 새로운 직업과 전문화 계통도를 살펴보고 나만의 특성 조합을 만들어 보세요!,0,0,0,5482,0,0,87298,250
