ID,Tooltip_lang,Name_lang,Field_8_2_0_30430_003
57,깃발을 획득한 횟수,깃발 획득,0
58,벽 파괴 횟수,파괴된 벽,0
59,건물 파괴 횟수,파괴된 건물,0
60,관문 파괴 횟수,파괴한 관문,0
61,적의 아군 무덤 점령을 저지한 수,무덤 방어,0
62,아군 진영의 깃발을 되찾은 수,깃발 탈환,0
63,적 경비탑의 깃발을 불태운 수,경비탑 점령,0
64,활성화된 추가 유닛 수,추가 목표,0
65,적 거점의 깃발을 제거한 횟수,거점 공격,0
67,적의 아군 경비탑 점령을 저지한 수,경비탑 방어,0
69,아군 거점의 점령을 저지한 횟수,거점 방어,0
70,파괴전차 파괴 횟수,파괴한 파괴전차,0
71,적 무덤의 깃발을 불태운 수,무덤 점령,0
75,당신이 조종한 수레의 갯수,수레 조종,0
78,적 진영의 광산 수레를 포획한 횟수,수레 포획,0
79,적으로부터 자기 진영의 광산 수레를 되찾은 횟수,수레 회수,0
81,적이 아군 광산을 점령하지 못하게 저지한 횟수,광산 방어,0
87,공을 통제한 횟수,공 통제,0
88,획득한 승점,승점,0
89,승리 기여도,점수,0
98,지금까지 수집해 반납한 총 유물 조각 개수입니다.,수집한 유물,0
99,수집한 전체 아제라이트,수집한 아제라이트,0
102,수집한 재료 수,수집한 재료,0
1092,적 거점의 깃발을 제거한 횟수,광산 공격,0
1093,깃발을 획득한 횟수,깃발 획득,0
1097,라운드 승리,라운드|n 승리,0
